PartNumber,Description,Cost,Price,OEM,Hollander
DFHR,"FORD 4.6L 2V 3L2E-CC block, 1L2E head, 4L1E-BA/BB front cover, 1L2E-GB oil pan.. ..",150,350,L4605R2E,9125
DFHT/DFEX-XW7E,"FORD 4.6L 2V XW7E SM HOLE or 6L2E block, 1L2E head, 3L3E-AA/AB front cover, 2L1E-FA/HA oil pan",150,350,L4604R2T or L4604R2ED,9004A
DFHV,"FORD 4.6L 2V 3L2E-CB or 3L2E-CC block, 1L2E head, 2L2E-AA/AD or 2L1E-DC/DE or 1L2E-AE front cove...",150,350,L4604R2E,9125
DFHW,"FORD 4.6W 2V F75E block, 2L1E head, 3L3E-AA/AB front cover, 2L1E-FA/HA oil pan, FORD 4.6W 2V F75E block, 2L1E, 3L3E-AA/AB front cover, 2L1E-FA/HA oil pan..",150,375,L4604W2SC,9150
DFK2,"FORD 460 B:D9TE, E7TE H:F3TE-JA EFI",250,500,L46093F,09948A 09948B
DFK3,FORD 351W B:F4TE H:E7TE EFI ROLLER,200,275,L351W94T,9258B
DFK4,FORD 7.0L 429 1991-97 BL# D9TE-AB HD# E7TE,150,350,L42993F,NA
DFK5,"FORD 4.0L Block - 95TM-AB, 97TM-AA, 98TM-AA, Heads - 95 TM-AD, Crankshaft - 90TM-AB W/ 7B0CB rod...",75,150,L4095B,"71041B,C"
DFK9,FORD 429 D9TE-AB  / E7TE-BD TRK 1997-98,100,,L42997F,
DFKE,"FORD 4.6L 2V XW7E SM HOLE (03 UP) block, 1L2E head, 2L3E-AA/AB front cover, F7UE-AE/AF oil pan",175,350,L4604R2V,09077G
DFKF,"FORD 2.0L GDI 2015-2016 FUSION/MKZ FB5E block, CJ5E head, CJ5E front cover, CJ5E oil pan",150,350,FP5Z6006AARM,NA
DFKH-5L/6L,"FORD 4.0L 5L2E block no bal. shaft, 6L2E OR 8L2E no oil bar  head, 1L2E-AA front cover, 5L2E-AA ...",100,250,L4007NBS,NA
DFKH-5L/8L,"FORD 4.0L 5L2E block no bal. shaft, 6L2E OR 8L2E no oil bar  head, 1L2E-AA front cover, 5L2E-AA ...",100,250,L4007NBS,
DFKH-LB,"FORD 4.0L 5L2E block no bal. shaft, 6L2E OR 8L2E no oil bar  head, long block",100,250,L4007,NA
DFKJ,FORD 351W B:F4TE H: E7TE ROLLER NON-SMOG,100,275,L351W94T,9258C
DFKM,"FORD 2.3L L3G7 T5251 VCT block, 6M8G VCT head, L3N510500C (L3N5) Front Cover, L3N5 10401 Oil Pan",100,250,L2306M3A or L2306M3M,66423A/B 66523A/B/C/D
DFKM-LB,"FORD 2.3L L3G7 T5251 VCT block, 6M8G VCT head, NO Front Cover, NO Oil Pan",200,350,L2306M3,.
DFKP,"FORD 5.4L 2V 3L3E block, 2L1E LP CNG head, 2L3E-BA front cover, F7UE-AE/AF oil pan",250,375,L5409W2VU,9261A
DFKP-LB,"FORD 5.4L 2V 3L3E block, 2L1E LP CNG head, 2L3E-BA front cover, NO oil pan",200,375,L5409W2,
DFKR,"FORD 2.0L GDI 2013-18 AG9E block, CJ5E head, CJ5E front cover, CJ5E oil pan",150,400,FE5Z6006CRM,9206A/B 9153 9212
DFKV,"FORD 2.0L 2011-2014 CM5E-6015-CA block, CM5E-6090-BD head,.WITH TWO CAM SENSORS END OF CAM TOPS.",150,250,DFKV,9205B
DFKW,"FORD 2.0L GDI 2013-16 MKT,TAURUS, EXPLORER FB5E block, CJ5E head, CJ5E front cover, CJ5E oil pan...",150,400,DFKW,9152 or 9207
DFKX,"FORD 2.0L GDI AG9E block, CJ5E head, BB5E front cover, AG9G oil pan",200,400,DFKX,9420A/B/C
DFKY,"FORD 2.0L GDI 2015-2017 EDGE FB5E block, EJ7E head, CJ5E front cover, CJ5E oil pan",150,400,DFKY,9209A/B
DFM1,"FORD 2.3L (OHC) F57E block, F57E or F87E DUAL PLUG head",50,200,DFM1,N/A
DFM2,"FORD 3.7L BA5E-6015- block, AT4E or DG1E- (8 HOLE) head, BT4E-6C086- Front Cover, AT4E-6675- Oil...",150,300,L3711ED,.
DFM22,"FORD 3.7L BA5E-6015- block, AT4E or DG1E- (12 HOLE) head, BT4E-6C086- Front Cover, DG1E-6675EA/E...",150,300,L3713ED,9037E
DFM4,"FORD 4.6L 2V F2,F4 block, F1AE SP head, F1AE or F2AE-AA front cover, F1AE/F2VE/F8AE-AB/AC/AD oil...",100,250,L4692R2F,09146A/B
DFM5,"FORD 4.6L 2V F2VE or F4VE block, F1AE head, F3AE-AC/AB front cover, F2VE/F8AE-AB/AC/AD oil pan",100,250,L4693R2F,.
DFM6,"FORD 4.6L 4V F6LE block, F6ZE head,  ALUM BLOCK LINCOLN MARK VIII",50,350,L4693AL4V,9246 9446
DFM8,"FORD 4.6L 2V F2VE or F4VE block, F4AE-6090-AB head, F3AE-AB/AC front cover, F6SE oil pan, FORD 4.6L 2V F2VE or F4VE block, F4AE-6090-AB head, F3AE-AB/AC front cover, F6SE oil pan..",150,350,L4694R2T,09146A/B
DFM9,"FORD 3.7L 4V BR3E block, DG1E 8 HOLE head, BR3E-6059- Front Cover, BR3E Oil Pan, AA5E-A20B,21 cr...",150,300,L3711TMU,9137A 9137B 9221
DFM9-LATE,"FORD 3.7L 4V BR3E block, DG1E 12 HOLE head, BR3E-6059- Front Cover, BR3E Oil Pan, HL3E-AA/FA cra...",150,300,L3715TR/ GK4Z6006CRM,NA
DFMA,"FORD 3.7L 4V BA5E block, BA5E or 8T4E head, 7T4E Front Cover, 7T4E Oil Pan BG-496-AA",75,300,L3711,9121A/B
DFMC,"FORD 4.6L 3V 7L2E block, 9L3E-GB head, 7R3E-AA front cover, 6L2E-DC (with sensor hole) oil pan..",350,450,L4608R3E,9182
DFMC-LB,"FORD 4.6L 3V 7L2E block, 9L3E-GB head, 7R3E-AA front cover, NO OIL PAN..",300,450,L4608R3E,NA
DFME,"FORD 4.6L 3V 3L2E-CC block, 9L3E-GB or 12mm 3L3E head, 7R3E-AA front cover, 7R3E-AA oil pan",350,450,L4608R3M,9259A/B
DFME-LB,"FORD 4.6L 3V 3L2E-CC block, 9L3E-GB or 12mm 3L3E head, 7R3E-AA front cover, NO OIL PAN",300,450,L4608R3M,NA
DFMK,FORD 3.7L CA/CA01 MAZDA,75,0,L3708,66137A/B/C
DFMM,"FORD 3.7L BA5E-6015- block, AT4E or DG1E- (12 HOLE) head, BT4E-6C086- Front Cover, DG1E-6675EA/E...",150,300,GF1Z6006CRM,9037B/C/D
DFN1,"FORD 302 E7TE, F1SE / E5TE, E7TE EFI ROLLER CAM",200,200,L30294TBR,9350K/M
DFN5,"FORD 3.0L F58E, F6DE, F6AE / E6AE-HB, F6DE-GA RWD ROLLER CAM",50,125,L3095VR,9230C 9230J
DFP7,FORD 300 F2TE / E5TE W/FPH LPG,100,250,,NA
DFR1,"FORD 5.4L 4V 3L3E block, YL7E head, 2L7E-GB front cover, 2L1E-GA or 9L3E-DA/DB (both w/o sensor ...",200,375,L5404W4LN,9101A 9101B
DFR1-LB,"FORD 5.4L 4V 3L3E block, YL7E head, 2L7E-GB front cover, NO oil pan",150,375,L5404W4LN,.
DFR6,FORD 6.0L DIESEL 2004-UP,500,0,,9147A-G 9460A/C 9560 9160A-C
DFR7,FORD 6.4L DIESEL,1500,1000,,N/A
DFR7-LB,FORD 6.4L F-SERIES LONG BLOCK WITH FUEL LESS TURBO,450,,,N/A
DFRH-5L/6L,"FORD 4.0L 5L2E block with bal. shaft, 6L2E OR 8L2E no oil bar  head, 1L2E-AA front cover, 5L2E-A...",100,250,L4007WBS,9140D 9293A/B 9245
DFT4,"FORD 4.0L Block - 97TM-AA, Heads - 98TM-6090-AD, Crankshaft - 97JM-BA, XL2E-AA/BA",75,200,L40980,71240A/B/C/D/E/F
DFT6,"FORD 4.0L 97JM no bal. shaft block, 97JM head, 97JM-AD front cover, 5L2E-AA oil pan",100,250,L4097NBS,71140A/B/C
DFT7,"FORD 4.6L 2V F65E or F7AE or XW7E block, F5AE head, F8ZE-BA or F7ZE-AA or F6AE-AB front cover, F...",100,350,L4696R2F,09094A/N
DFT7-LB,"FORD 4.6L 2V F65E,F7AE, or XW7E block-F5AE head- F6AE front cover-NO OIL PAN",100,350,L4696R2F,.
DFTD-LB,"FORD 5.4L 2V F75E block, F75E head, F75E-AA/BA or F85E-AA front cover, NO oil pan",175,375,L5497W2,9054A 9007B 9007A 9018A
DFTE-LB,"FORD 5.4L 2V F75E block, XL3E head, F85E-AA front cover, NO oil pan",200,375,L5400W2,9018A 9018B 9018C 9018D
DFTH,"FORD 6.8L 2V F7UE block, F7UE head, F75E-AA/BA or F85E-AA front cover, F81E-DE/DF oil pan",600,800,DL6897FNP,9068B
DFTK-1CYC,"FORD 6.8L 2V PI 1C3E /YC2E  F75E-AA/BA or F85E-AA front cover, F81E-DE/DF oil pan",700,800,DL6800FPI,
DFTK-1CYC-LB,FORD 6.8L 2V PI 1C3E /YC2E  F75E-AA/BA or F85E-AA front cover,600,800,DL6800,NONE
DFTK-F71C,"FORD 6.8L 2V PI F7UE/1C2E head, F75E-AA/BA or F85E-AA front cover, F81E-DE/DF oil pan",600,800,DL6800FPI,
DFTK-F71C-LB,FORD 6.8L 2V PI F7UE block / 1C2E head,600,800,DL6800,NONE
DFTK-F7YC,"FORD 6.8L 2V PI F7UE/YC2E head, F75E-AA/BA or F85E-AA front cover, F81E-DE/DF oil pan",600,800,DL6800FPI,
DFTK-F7YC-LB,FORD 6.8L 2V PI F7UE/YC2E head..,600,800,DL6800EPI,NONE
DFTM-2L1E,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E LP head, 2L1E-CB front cover, 2L1E-FA/HA oil pan",200,375,L5403W2ED,
DFTM-3L3E,"FORD 5.4L 2V 2L1E or 3L3E block, 2L1E LP head, 2L1E-CB front cover, 2L1E-FA/HA oil pan",200,375,L5403W2ED,9254
DFTR,"FORD 6.8L 2V F7UE block, F7UE head, F75E-AA/BA or F85E-AA front cover, F8UE-AA/AB oil pan",600,800,DL6897ENP,9068A 9068B
DFTR-LB,"FORD 6.8L 2V F7UE block, F7UE head, F75E-AA/BA or F85E-AA front cover, NO oil pan",600,800,DL6897ENP,.
DFTT-1C3E,"FORD 6.8L 2V PI F7UE/ 1C2E, F75E-AA/BA or F85E-AA front cover, F8UE-AA/AB oil pan....",700,800,DL6800EPI,NONE
DFTT-5C3E,"FORD 6.8L 2V PI 5C3E / YC2E, F75E-AA/BA or F85E-AA front cover, F8UE-AA/AB oil pan..",700,800,DL6800EPI,
DFTT-YC2E,"FORD 6.8L 2V PI F7UE/ YC2E, F75E-AA/BA or F85E-AA front cover, F8UE-AA/AB oil pan..",600,800,DL6800EPI,
DFW3,FORD 2.5L F87E/F87E OHC DUAL PLUG,50,125,,9325A 9325B
DFW4,"FORD 3.0L Block - XF1E, XF1Z-DA, Heads - F6DE (W/ 7mm Valves Only), Crankshaft - F58E-AA , F58E-...",75,150,L3099VR,9230J 9230K 9230M
DFW6,"FORD 4.2L Block - RFXL3E-AD, F75E-BB, Heads - F75E-6090-B22A, F65E-6090-BC, Crankshaft - F65E-AC..",75,150,L4296RSP,9042A
DFWA:5G-352-AB,"FORD 3.0L B: 6E5E H: 3M4E TC: 5F9E,6F9E  OP: 5F9E 500, MONTEGO, FREESTYLE..",115,275,L3005DF,
DFWJ,"FORD 3.0L 6E5E/3M4E 8L8E/5L8E NO VCT.., FORD 3.0L 6E5E/3M4E 8L8E/5L8E NO VCT 8G-758-AO..",100,275,L3008DT,9189
DFWK:2G-748-AB,FORD 3.0L 6E5E. 4F1E / 3L8E FWD MAZDA MPV,100,,,
DFWM,"FORD 3.0L B: XW4E H: YF1E, YL8E OP: F7DE 3S-850..",125,,L3003DC,9059C
DFWN,FORD 3.0L 6E5E. 4F1E / 3L8E FWD MAZDA,100,275,,066037A/B
DFWN:4G-748-AA,FORD 3.0L 6E5E. 4F1E / 3L8E FWD MAZDA MPV,100,,,
DFWR,"FORD 3.0L B: 6E5E H: 9L8E OP: 9L8E W/VCT 1G, 0G, 9G-758-AA..",150,275,L3009DT,9198
DFWR-LB,"FORD 3.0L B: 6E5E H: 9L8E W/VCT 1G, 0G, 9G-758-AA..",100,275,L3009DT,
DFWR:1G-758-AA,"FORD 3.0L 6E5E/9L8E W/VCT 2010-11 ESC, TRIB, FUS, MIL",100,275,L3009DT,
DFWR:1G-758-BA,"FORD 3.0L 6E5E/9L8E W/VCT 2012 ESC, TRIB, FUS, MIL",100,275,L3009DT,
DFWR:9G-758-AA,"FORD 3.0L 6E5E/9L8E W/VCT 2009 ESC, TRIB, FUS, MIL",100,275,L3009DT,
DFWV,"FORD 3.0L 6E5E/3M4E NO VCT 5G-758-AOT, FORD 3.0L 6E5E/3M4E NO VCT 5G-758-AO",100,275,L3006DT,9297
DFWX,"FORD 3.0L 4F1E/3L8E NO VCT, FORD 3.0L 4F1E/3L8E NO VCT 5G-758-AA",100,2,L3005DT,9191
DFWY,"FORD 3.0L 6E5E / 3L8E-BB W/P LEFT REAR N/VCT, FORD 3.0L 6E5E / 3L8E-BB W/P LEFT REAR NO/VCT",100,275,L3005DT,9191
DFWY:5G-75,"FORD 3.0L 4F1E block, 3L8E head, 4L8E-BD OR 5L8E-AA front cover, 5L8E-BB oil pan.., FORD 3.0L 4F1E block, 3L8E head, 4L8E-BD OR 5L8E-AA front cover, 5L8E-BB oil pan",100,275,L3005DT,
DFWY:5G-758-AB,FORD 3.0L 6E5E / 3L8E-BB W/P LEFT REAR,100,,,
DFWZ:6A-852-AA,"FORD 3.0L 6E5E/3M4E VCT 2006 FUSION/MILAN.., FORD 3.0L 6E5E/3M4E W/VCT  6E5E/6E5E 6A-852-AA",100,275,L3006FM,
DFWZ:7A-852-AA,"FORD 3.0L 6E5E/3M4E VCT, FORD 3.0L 6E5E/3M4E VCT 6E5E/7E5E 7A-852-AA",100,2,L3006FM,
DFX2,"FORD 302 BL# F1SE HD# F1ZE,F2PE,F3AE 3 BAR HEADS",200,300,DFX2,"9350G, 9350H"
DFX3,"FORD 3.8L BL-F6ZE HD-F77E F/C-F6ZE O/P-F7ZE ROLLER CAM, ALM HEAD COUGAR MUSTANG",100,150,L3896RHC,9738B/C/D 9939A/B
DFX5,"FORD 302 B: F1SE H F1ZE, F3ZE ""GT"" ROLLER EFI EXPL, MOUNT",100,200,,9144 9045A/B
DFX6,FORD 302 F1SE / F7TE ROLLER W/KNOCK SENSOR 4 BAR,200,200,,9045A/B/C/D/E
DFX7,"FORD 5.4L 2V F75E block, F75E head, F75E-AA/BA or F85E-AA front cover, XL1E-CA or F65E-HA/HB oil..., FORD 5.4L 2V NPI  F75E/F75E F75E-AA/BA or F85E-AA front cover, XL1E-CA or F65E-HA/HB oil pan..",150,375,L5497W2TA,9054A
DFX8,"FORD 3.0L F5DE H: F7DE OP: F6DE 85-850.., FORD 3.0L F5DE H: F7DE OP: F6DE 8G-850..",100,275,L3098DC,.
DFX9,"FORD 2.0L SPI F7CE block, F7CE head, F7CE-6E011-BB Front Cover, None Oil Pan",100,175,L2097SPIEAT,9220A 9220B
DFXA,"FORD 2.0L SPI YS4E block, YS4E head, YS4E-6E011-CA/DA Front Cover, None Oil Pan",125,175,L2001SPIF,9052
DFXB,"FORD 6.2L 2017-18 F250/350 SUPERDUTY AL3E block, FC3E head, AL3E front cover, AL3E oil pan",550,800,DFXB,9362A
DFXB-LB,"FORD 6.2L 2017-18 F250/350 SUPERDUTY AL3E block, FC3E head, missing front cover or oil pan",500,800,DFXB-L/B,NA
DFXD,FORD 302 BL# C8OE HD# C8OE,100,150,COMPRESSOR!!,N/A
DFXE,"FORD 2.0L SPI F8CE block, F7CE head, F7CE-6E011-BB Front Cover, None Oil Pan",125,175,L2098SPIEAT,9220C 9220D 9220E
DFXF,"FORD 4.6L 2V F6AE, F7AE or XW7E block, F5AE or F8AE(w/ CHT Hole) head, F65E-AB/AC/AD front cover...",100,350,L4696R2T,9041 9094E 9094F 9094H
DFXF-LB,"FORD 4.6L 2V F65E/F7AE or XW7E block, F5AE head, LONG BLOCK ONLY",100,350,L4696R2T,N/A
DFXG,"FORD 6.2L 2010-14 F150 or RAPTOR AL3E block, AL3E head, AL3E front cover, AL3E oil pan",500,800,L6211RA,9162A
DFXJ,"FORD 6.2L 2011-16 F250/350 SUPERDUTY AL3E block, AL3E head, AL3E front cover, AL3E oil pan",550,800,L6211SD,9162B
DFXJ-LB,"FORD 6.2L 2011-16 F250/350 SUPERDUTY AL3E block, AL3E head, missing front cover or oil pan",500,800,L6211,NA
DFXM,"FORD 4.6W 2V F75E block, XL3E head,F6AE or F8ZE-BA front cover, F7ZE-AA/AB or XR3E-DB oil pan, FORD 4.6W 2V F75E block, XL3E head, F6AE or F8ZE-BA front cover, F7ZE-AA/AB or XR3E-DB oil pan..",100,375,L4699W2M,":	09006F"
DFXN,"FORD 4.6L 2V XW7E BIG HOLE block, 1L2E head, XR3E-BB front cover, F8AE-AD oil pan..",100,350,L4601R2F,9083A 9083B
DFXR,FORD 3.0L B 4F1E H: 3L8E OP: 3F1E 4G-850..,100,275,L3004DC,
DFXT,"FORD 4.6L 2V F7AE or XW7E 4 PIN block, F5AE head, XR3E-BB front cover, F8AE-AD oil pan, FORD 4.6L 2V F7AE or XW7E 4 PIN block, F5AE head, XR3E-BB front cover, F8AE-AD oil pan..",100,350,L4600R2F,09094C
DFXV,"FORD 3.0L 2F1E, 3F1E / F6DE RWD ROLLER",75,150,L3002VR,9145C/E/G/H
DFXV-LB,FORD 3.0L 3FIE / F6DE LONGBLOCK,1,150,L3002VR,
DFXW-F75E,"FORD 5.4L 2V F75E LIGHTNING block, 2L1E LP head, F75E-AA/BA or F85E-AA front cover, XL1E-CA or F...",150,375,L5499WLTG,300-9091
DFXW-LB,"FORD 5.4L 2V F75E block, 2L1E head, F75E-AA/BA or F85E-AA front cover, NO oil pan",125,375,L5499W2,NA
DFXX-2L1E,"FORD 5.4L 2V 2L1E LIGHTNING block, 2L1E LP head, F85E-AA front cover, XL1E-CA or F65E-HA/HB oil pan",150,375,L5402WLTG,":	9106A 9106B"
DFXY,FORD 3.0L B: 3F1E H:F6DE FWD,100,200,,9067 9071A/B
DFY2,"FORD 4.2L Block - RFXL3E-AD, RF1L3E-BA, Heads - XF2E-AD, YF2E-BA, Crankshaft - F65E-AC",75,150,L4299RSP,9042B
DFYC,"FORD 2.0L ZTECH YS4G-AA block, XS7E-AE head, 978M-6M016-AC/AD Front Cover (lower) None (upper),9...",125,225,L2099CM,9320
DFYP,"FORD 2.0L ZTECH YS4G-AA/AD/AE Block, YS4E-6090-AC/AD Head, 978M-6M016-AC/AD Front Cover (lower) ...",100,200,L2003FOAT,09053A/B/C
DFYW:1G-75,"FORD 3.0L XW4E block, RH: YF1E  LH: YL8E head, 1S7E-AB front cover, YL8E-BA OR 2S7E-AA OR 5L8E-B...",125,275,L3001DT,9190
DFYW:1G-754-AB,"FORD 3.0L XW4E block, RH: YF1E  LH: YL8E head, 1S7E-AB front cover, YL8E-BA OR 2S7E-AA OR 5L8E-B...",125,,L3001DT,
DFYY,FORD 3.0L B: XW4E H: YF1E  OP: F7DE  AG-850..,100,,L3000DC,9185
DFYZ:1G/2G-850,"FORD 3.0L XW4E block, YF1E/YL8E  3L8E/3L8E head, 1F1E-AB front cover, F7DE-BC oil pan",100,275,L3001DC,9059B
DFZ3,"FORD 5.4L 2V F75E block, XL3E head, F75E-AA/BA or F85E-AA front cover, XL1E-CA or F65E-HA/HB oil...",150,375,L5499W2TU,9018A 9018B
DFZ6,FORD 3.8L/232 BL# 1L2E/XL3E-AD HD# YF2E/ XF3E-A22E CRANKSHAFT# F68E,75,150,L3899RSP,9003A
DFZ7,FORD 3.0L B: XW4E H: F7DE OP:F7DE 9G-850-BA..,100,275,L3099DC,300-9730B
DFZ8,"FORD 4.0L Block - 97TM-AA, Heads - 98TM-6090-AD, Crankshaft - 97JM-BA, XL2E-AA/BA",150,150,L40980,71240A 71240C 71240E 71240F
DFZC,"FORD 5.4L 4V F75E block, XL1E,YL7E head, XL1E-AB front cover, XL1E-CA oil pan",200,375,L5499W4LN,9008 9091
DFZF,"FORD 4.6L 2V XW7E BIG HOLE block, 1L2E head, F65E-AB/AC/AD front cover, XL1E-CA or F65E-HA/HB oi...",150,350,L4601R2T,09077A 09077B
DFZF-LB,"XW7E BIG HOLE block, 1L2E head, F65E-AB/AC/AD front cover, NO IOL PAN",100,350,L4601R2T,09077A 09077B
DFZH,"FORD 4.6W 2V F75E block, XL3E head, F65E-AB/AC/AD front cover, XL1E-CA or F65E-HA/HB oil pan",150,375,L4699W2TA,09193B 09006E
DFZK,"FORD 4.6W 2V F75E block, XL3E or 2L1E head, 2L3E-AA/AB front cover, XL1E-CA or F65E-HA/HB oil pan",150,375,L4601W2SC,09143A 09143B
DFZR,"FORD 3.8L/ 232 BL# XL3E/1L3E, 3L3EHD# XF2E/YF1E CRANKSHAFT #1F2E",75,150,L3801RSP,9438 9003B
DFZY-1L3E,"FORD 4.2L Block - 1L3E-BA, 1L3E-BB, Heads - XF2E-AD, YF2E-BA, Crankshaft - F65E-AC, FORD 4.2L Block - 1L3E-BA, 1L3E-BB, Heads - XF2E-AD, YF2E-BA, Crankshaft - F65E-AC....",75,150,L4201RSP,9124 9086A/B
DFZY-3L/4L3E,"FORD 4.2L B: 3L3E, 4L3E H: YF2E-AA E&F SERIES",75,150,L4205RSP,9342
DM33,FORD 351W D2AE / D8OE,150,,,
DMA4,FORD 302 B: E7TE-CA/F3JE MARINE,100,200,,9450D
DO04,OLDS 350 B-752-3B H-554716,75,200,DO04,3057C/D/E/F/G
DP40,"GM 2.5L RWD BL# 032,579 HD# 767,373",150,250,,2425
DP50,GM 2.5L B: 311 H: 635 LONGBLOCK,200,350,,2525
DP50-SB,PONT. 2.5L RWD SHORT BLOCK #311,100,200,DP50s,N/A
DP51,PONT. 2.5L RWD,200,350,,N/A
DP62,GM/PONT. 2.5 RWD BL# 311-046 HD# 514-485,200,350,DP62,N/A
