PartNumber,Description,Cost,Price,OEM,Hollander
DCT12,"GM 6.0L 12568952, Heads - 821, 364, 716, 823, W/VVT & DOD.., GM 6.0L 12568952, Heads - 821, 364, 716, 823, W/VVT & DOD",500,1000,L6007GMCAL,15260
DCT13,"GM 6.0L - L96 2010-15 TRUCK, SUV, VAN",500,650,L6009GMC,15360C
DCT14,"GM 6.0L 2007-09 trailblazer/sabb9x7 ..952 block, 243 heads, no VVT, no MDS all aluminum",250,600,,5360
DCT15,GM 6.0L HYBRID 2008-13 BL# 12577461 HD# 243 C/S 216 58T,300,600,DCT15,15460A/B
DCT18,"GM 5.3L GEN IV W/TC NON DOD 243/799 2008-09, GM 5.3L GEN IV W/TC NON DOD 243/799 HEAD W/TC & OP",200,300,L5309GMC,15553A 15553B
DCT19,"GM 5.3L GEN IV W/VVT N/DOD 2010-14, GM 5.3L GEN IV W/VVT N/DOD 243/799 HEAD W/TC&OP",200,400,,15753
DCT20,"GM 5.3L GEN IV W/VVT W/DOD 2010-14, GM 5.3L GEN IV W/VVT W/DOD 243/799 HEAD W/TC&OP",250,400,L5310GMCCI,15453
DCT20-LB,GM 5.3L GEN IV W/VVT W/DOD 243/799 HEAD W/TC&OP,200,300,L5310GMCCI,NA
DCT21,GM 5.3L GEN V ALUM BLOCK DI W/VVT W/DOD,300,500,L5314GMCAL,5453
DCT23,GM 6.0L GEN IV 823/5364 W/VVT N/DOD 2011-16..,450,750,L6007GMC,15760
DCT28,"GM 3.7L B;643, 811, 366 H: 8265D VVT 12589782 2008-12 COLO, CANY, H3",175,300,,5437
DCT29,"GM 2.9L 07-12 CANYON, COLO",175,150,,300-5029
DCT30,"GM 2.9L 12579139 or 126283370 block, 8267 head, Reluctor# 12589782",100,300,,5029
DCT6,GM 2.2L FWD BL# 035 HD# 507 W/EGR,75,150,L2298RWD,5002A
DCT8-RD,"GM 5.3L Block - 4.8/5.3L, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 216, 5 hole ring (2O) rou...",100,250,L5399GMC,5053 5253A/B/C/D/E 5953A/C
DCT8-RD-LB,"GM 5.3L Block - 4.8/5.3L, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 216, 5 hole ring (2O) rou...",100,250,L5399GMC,NA
DCT8-SQ,"GM 5.3L Block - 4.8/5.3L, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 216, 5 hole ring (2O) squ...",100,250,L5305GMC,
DCT8-SQ-LB,"GM 5.3L Block - 4.8/5.3L, Heads - 862, 706, (3-2) 5 bump, Crankshaft - 216, 5 hole ring (2O) squ...",100,250,L5305GMC,NA
DCT9,"GM 6.0L 364/873 CAST BLOCK AND HEADS, GM 6.0L GEN III 364/873 CAST BLOCK AND HEADS",150,400,L6099GMC,5060
DCT91,"GM 6.2L 2010-14 Block - 12584724, 12621766, Heads - 821,364,823 , Crankshaft - 216, With D.O.D. ...",750,1000,L6210GMCAL,5662
DCT97,GM 6.2L 6.2 14-17 GDI ENGINE,750,1000,,5762
DCT97+,GM 6.2L G.D.I. PLUS 2019-UP,750,1000,DCT97+,NA
